Customer_ID,Signup_Date,Plan,Monthly_Fee,Region,Acquisition_Channel,Status,Tenure_Months,Churn_Date,Churn_Reason
CUST00040,2024-09-05,Basic,299,North,Social Media,Active,3,,
CUST00041,2023-09-19,Standard,599,South,Paid Ads,Active,15,,
CUST00042,2024-05-20,Basic,299,East,Organic,Churned,4,2024-09-17,Found alternative
CUST00043,2024-02-05,Standard,599,West,Paid Ads,Churned,1,2024-03-06,Not using enough
CUST00044,2023-08-14,Basic,299,North,Organic,Churned,1,2023-09-13,Poor support experience
CUST00045,2024-01-11,Premium,999,South,Paid Ads,Churned,9,2024-10-07,Found alternative
CUST00046,2024-05-06,Basic,299,East,Referral,Active,7,,
CUST00047,2024-05-09,Premium,999,West,Referral,Active,7,,
CUST00048,2024-10-01,Basic,299,South,Organic,Active,3,,
CUST00049,2023-05-02,Standard,599,East,Organic,Churned,10,2024-02-26,Poor support experience
CUST00050,2023-12-24,Premium,999,South,Paid Ads,Active,12,,
CUST00051,2024-01-01,Basic,299,West,Paid Ads,Churned,4,2024-04-30,Not using enough
CUST00052,2023-05-16,Basic,299,South,Paid Ads,Churned,4,2023-09-13,Poor support experience
CUST00053,2023-01-17,Premium,999,North,Referral,Active,23,,
CUST00054,2023-03-30,Basic,299,North,Organic,Churned,9,2023-12-25,Price too high
CUST00055,2024-02-05,Premium,999,North,Paid Ads,Active,11,,
CUST00056,2023-08-14,Premium,999,West,Paid Ads,Active,16,,
CUST00057,2023-08-11,Basic,299,West,Paid Ads,Churned,8,2024-04-07,Missing features
CUST00058,2024-03-29,Basic,299,South,Organic,Churned,1,2024-04-28,Not using enough
CUST00059,2024-05-31,Basic,299,North,Organic,Churned,2,2024-07-30,Technical issues
CUST00060,2023-02-17,Basic,299,South,Paid Ads,Churned,6,2023-08-16,Missing features
CUST00061,2023-02-12,Basic,299,South,Paid Ads,Active,22,,
CUST00062,2023-04-04,Standard,599,North,Paid Ads,Churned,4,2023-08-02,Poor support experience
CUST00063,2023-03-21,Standard,599,North,Paid Ads,Churned,12,2024-03-15,Not using enough
CUST00064,2023-01-23,Basic,299,North,Paid Ads,Churned,11,2023-12-19,Technical issues
CUST00065,2023-08-28,Standard,599,North,Organic,Active,16,,
CUST00066,2023-08-10,Standard,599,South,Organic,Churned,1,2023-09-09,Technical issues
CUST00067,2024-05-28,Premium,999,West,Organic,Active,7,,
CUST00068,2023-03-23,Premium,999,West,Organic,Churned,2,2023-05-22,Poor support experience
CUST00069,2024-01-04,Basic,299,South,Social Media,Churned,6,2024-07-02,Poor support experience
CUST00070,2024-04-17,Basic,299,South,Organic,Active,8,,
CUST00071,2024-11-17,Standard,599,North,Paid Ads,Active,1,,
CUST00072,2024-09-13,Basic,299,West,Organic,Active,3,,
CUST00073,2023-10-30,Basic,299,South,Organic,Active,14,,
CUST00074,2023-06-02,Premium,999,South,Referral,Active,19,,
CUST00075,2023-06-21,Basic,299,West,Paid Ads,Active,18,,
CUST00076,2024-09-23,Basic,299,West,Organic,Active,3,,
CUST00077,2024-06-26,Basic,299,South,Paid Ads,Active,6,,
CUST00078,2023-05-20,Basic,299,South,Paid Ads,Churned,6,2023-11-16,Price too high
CUST00079,2024-05-06,Premium,999,North,Social Media,Active,7,,
CUST00080,2023-05-01,Basic,299,West,Organic,Active,20,,
CUST00081,2024-09-14,Standard,599,North,Social Media,Churned,3,2024-12-13,Price too high
CUST00082,2023-09-03,Premium,999,West,Paid Ads,Active,16,,
CUST00083,2024-10-25,Basic,299,South,Social Media,Active,2,,
CUST00084,2023-03-01,Basic,299,West,Social Media,Active,22,,
CUST00085,2024-10-11,Basic,299,South,Paid Ads,Active,2,,
CUST00086,2024-07-31,Basic,299,West,Paid Ads,Churned,1,2024-08-30,Found alternative
CUST00087,2023-03-09,Basic,299,West,Referral,Active,22,,
CUST00088,2024-04-03,Standard,599,East,Organic,Active,9,,
CUST00089,2024-02-08,Basic,299,North,Organic,Churned,1,2024-03-09,Price too high
CUST00090,2024-05-01,Basic,299,North,Organic,Active,8,,
CUST00091,2024-06-26,Standard,599,South,Referral,Churned,1,2024-07-26,Price too high
CUST00092,2024-11-29,Premium,999,West,Paid Ads,Active,1,,
CUST00093,2023-02-11,Standard,599,South,Organic,Active,22,,
CUST00094,2024-07-28,Premium,999,East,Organic,Active,5,,
CUST00095,2023-12-18,Basic,299,West,Organic,Active,12,,
CUST00096,2024-01-06,Basic,299,West,Social Media,Active,12,,
CUST00097,2024-07-09,Standard,599,West,Referral,Active,5,,
CUST00098,2023-04-20,Basic,299,South,Organic,Active,20,,
CUST00099,2023-11-17,Basic,299,East,Referral,Churned,8,2024-07-14,Price too high
CUST00100,2023-08-11,Basic,299,West,Organic,Churned,3,2023-11-09,Found alternative
CUST00101,2024-03-11,Standard,599,North,Social Media,Active,9,,
CUST00102,2023-05-17,Standard,599,South,Paid Ads,Active,19,,
CUST00103,2024-07-02,Standard,599,North,Social Media,Churned,1,2024-08-01,Price too high
CUST00104,2024-07-10,Standard,599,North,Social Media,Churned,2,2024-09-08,Missing features
CUST00105,2023-09-15,Premium,999,North,Paid Ads,Active,15,,
CUST00106,2023-05-04,Basic,299,North,Referral,Active,20,,
CUST00107,2023-10-08,Premium,999,West,Organic,Active,15,,
CUST00108,2023-12-30,Basic,299,South,Referral,Active,12,,
CUST00109,2023-12-18,Premium,999,South,Paid Ads,Churned,1,2024-01-17,Not using enough
CUST00110,2024-05-12,Premium,999,North,Paid Ads,Active,7,,
CUST00111,2024-01-04,Basic,299,South,Social Media,Churned,7,2024-08-01,Price too high
CUST00112,2024-11-23,Basic,299,North,Referral,Active,1,,
CUST00113,2023-01-22,Standard,599,North,Social Media,Churned,7,2023-08-20,Not using enough
CUST00114,2023-03-23,Standard,599,East,Paid Ads,Churned,10,2024-01-17,Found alternative
CUST00115,2023-06-04,Standard,599,North,Paid Ads,Churned,15,2024-08-27,Missing features
CUST00116,2023-04-30,Standard,599,South,Social Media,Churned,16,2024-08-22,Not using enough
CUST00117,2023-03-12,Basic,299,East,Social Media,Churned,14,2024-05-05,Found alternative
CUST00118,2023-04-02,Standard,599,East,Organic,Active,21,,
CUST00119,2023-04-08,Standard,599,South,Organic,Churned,8,2023-12-04,Technical issues
CUST00120,2024-04-12,Basic,299,South,Organic,Active,8,,
CUST00121,2024-04-02,Standard,599,South,Social Media,Active,9,,
CUST00122,2024-10-08,Basic,299,West,Organic,Active,2,,
CUST00123,2024-06-14,Premium,999,North,Social Media,Active,6,,
CUST00124,2024-02-13,Basic,299,West,Organic,Churned,8,2024-10-10,Price too high
CUST00125,2023-10-02,Premium,999,North,Social Media,Churned,8,2024-05-29,Not using enough
CUST00126,2023-01-20,Basic,299,West,Organic,Churned,16,2024-05-14,Not using enough
CUST00127,2023-01-21,Basic,299,East,Organic,Churned,3,2023-04-21,Missing features
CUST00128,2023-05-13,Standard,599,West,Organic,Active,19,,
CUST00129,2023-06-02,Basic,299,South,Paid Ads,Active,19,,
CUST00130,2024-02-01,Premium,999,West,Paid Ads,Churned,2,2024-04-01,Price too high
CUST00131,2023-12-26,Basic,299,West,Paid Ads,Churned,2,2024-02-24,Not using enough
CUST00132,2023-11-18,Standard,599,East,Organic,Churned,1,2023-12-18,Price too high
CUST00133,2023-03-06,Basic,299,South,Paid Ads,Active,22,,
CUST00134,2024-05-16,Standard,599,West,Paid Ads,Churned,1,2024-06-15,Poor support experience
CUST00135,2023-10-20,Basic,299,North,Paid Ads,Churned,2,2023-12-19,Missing features
CUST00136,2023-08-27,Standard,599,North,Organic,Active,16,,
CUST00137,2024-07-20,Basic,299,South,Organic,Churned,1,2024-08-19,Poor support experience
CUST00138,2024-04-03,Basic,299,North,Organic,Active,9,,
CUST00139,2023-02-10,Standard,599,North,Social Media,Churned,5,2023-07-10,Poor support experience
CUST00140,2024-06-30,Basic,299,West,Organic,Active,6,,
CUST00141,2023-05-11,Standard,599,South,Social Media,Active,20,,
CUST00142,2023-08-03,Standard,599,West,Social Media,Active,17,,
CUST00143,2024-04-17,Premium,999,East,Referral,Active,8,,
CUST00144,2023-12-04,Premium,999,North,Organic,Active,13,,
CUST00145,2023-11-08,Basic,299,West,Paid Ads,Churned,1,2023-12-08,Found alternative
CUST00146,2023-12-02,Basic,299,East,Referral,Active,13,,
CUST00147,2023-11-06,Basic,299,South,Paid Ads,Churned,9,2024-08-02,Price too high
CUST00148,2024-04-05,Premium,999,West,Organic,Active,9,,
CUST00149,2024-11-05,Basic,299,North,Referral,Active,1,,
CUST00150,2023-06-20,Basic,299,West,Organic,Churned,4,2023-10-18,Poor support experience
CUST00151,2024-08-02,Standard,599,North,Organic,Active,5,,
CUST00152,2023-05-30,Standard,599,South,Paid Ads,Churned,13,2024-06-23,Not using enough
CUST00153,2024-07-09,Basic,299,East,Organic,Active,5,,
CUST00154,2024-06-21,Standard,599,West,Social Media,Active,6,,
CUST00155,2023-12-20,Standard,599,East,Organic,Active,12,,
CUST00156,2023-11-19,Premium,999,South,Paid Ads,Active,13,,
CUST00157,2023-01-23,Standard,599,West,Paid Ads,Churned,8,2023-09-20,Missing features
CUST00158,2024-09-10,Standard,599,East,Referral,Active,3,,
CUST00159,2024-02-02,Premium,999,South,Paid Ads,Churned,10,2024-11-28,Not using enough
CUST00160,2024-04-02,Premium,999,South,Paid Ads,Active,9,,
CUST00161,2023-08-16,Standard,599,South,Organic,Active,16,,
CUST00162,2023-10-28,Standard,599,North,Referral,Active,14,,
CUST00163,2023-10-30,Standard,599,West,Social Media,Churned,5,2024-03-28,Price too high
CUST00164,2023-07-04,Standard,599,West,Organic,Active,18,,
CUST00165,2024-10-03,Basic,299,West,Organic,Active,2,,
CUST00166,2023-11-24,Standard,599,North,Organic,Active,13,,
CUST00167,2024-09-05,Premium,999,South,Referral,Active,3,,
CUST00168,2023-02-22,Standard,599,North,Organic,Churned,1,2023-03-24,Found alternative
CUST00169,2023-12-08,Premium,999,South,Paid Ads,Churned,11,2024-11-02,Price too high
CUST00170,2024-07-09,Standard,599,North,Paid Ads,Active,5,,
CUST00171,2024-03-29,Standard,599,North,Referral,Active,9,,
CUST00172,2023-04-11,Basic,299,South,Social Media,Churned,2,2023-06-10,Found alternative
CUST00173,2023-04-22,Premium,999,East,Organic,Active,20,,
CUST00174,2024-05-06,Basic,299,North,Paid Ads,Active,7,,
CUST00175,2024-08-16,Basic,299,East,Organic,Active,4,,
CUST00176,2023-03-20,Basic,299,South,Paid Ads,Churned,10,2024-01-14,Technical issues
CUST00177,2023-12-05,Premium,999,South,Referral,Active,13,,
CUST00178,2024-11-19,Basic,299,West,Paid Ads,Active,1,,
CUST00179,2024-03-15,Premium,999,West,Organic,Churned,7,2024-10-11,Technical issues
CUST00180,2024-10-07,Basic,299,East,Organic,Active,2,,
CUST00181,2024-03-17,Standard,599,North,Social Media,Churned,8,2024-11-12,Not using enough
CUST00182,2023-03-18,Premium,999,North,Organic,Active,21,,
CUST00183,2024-05-13,Basic,299,East,Referral,Churned,5,2024-10-10,Not using enough
CUST00184,2024-05-09,Premium,999,South,Referral,Active,7,,
CUST00185,2023-07-08,Basic,299,West,Social Media,Active,18,,
CUST00186,2023-05-13,Basic,299,South,Referral,Active,19,,
CUST00187,2023-11-19,Standard,599,West,Referral,Churned,12,2024-11-13,Poor support experience
CUST00188,2024-04-06,Premium,999,West,Referral,Churned,6,2024-10-03,Price too high
CUST00189,2024-05-11,Standard,599,North,Paid Ads,Churned,4,2024-09-08,Missing features
CUST00190,2023-12-11,Basic,299,North,Organic,Churned,6,2024-06-08,Poor support experience
CUST00191,2024-09-06,Standard,599,North,Paid Ads,Churned,3,2024-12-05,Price too high
CUST00192,2024-09-15,Standard,599,West,Referral,Active,3,,
CUST00193,2024-04-23,Standard,599,South,Referral,Active,8,,
CUST00194,2024-01-12,Basic,299,East,Organic,Churned,11,2024-12-07,Missing features
CUST00195,2024-08-02,Premium,999,West,Social Media,Active,5,,
CUST00196,2023-04-10,Basic,299,North,Organic,Churned,21,2024-12-30,Price too high
CUST00197,2024-05-09,Standard,599,West,Social Media,Active,7,,
CUST00198,2023-05-12,Premium,999,South,Organic,Active,19,,
CUST00199,2023-12-03,Basic,299,West,Paid Ads,Churned,1,2024-01-02,Technical issues
CUST00200,2024-09-06,Basic,299,South,Organic,Active,3,,
CUST00201,2023-09-16,Basic,299,North,Organic,Active,15,,
CUST00202,2023-04-16,Premium,999,East,Paid Ads,Active,20,,
CUST00203,2024-11-25,Basic,299,South,Organic,Active,1,,
CUST00204,2023-04-12,Basic,299,West,Organic,Churned,9,2024-01-07,Price too high
CUST00205,2023-04-22,Standard,599,South,Organic,Active,20,,
CUST00206,2023-01-24,Premium,999,West,Referral,Active,23,,
CUST00207,2023-01-29,Premium,999,West,Social Media,Active,23,,
CUST00208,2023-02-17,Basic,299,South,Paid Ads,Churned,15,2024-05-12,Price too high
CUST00209,2024-06-10,Standard,599,North,Social Media,Active,6,,
CUST00210,2023-06-20,Basic,299,West,,Churned,7,2024-01-16,Price too high
CUST00211,2023-08-05,Premium,999,South,Organic,Active,17,,
CUST00212,2024-01-17,Basic,299,North,Paid Ads,Active,11,,
CUST00213,2024-10-26,Basic,299,East,Organic,Active,2,,
CUST00214,2024-06-30,Standard,599,West,Organic,Active,6,,
CUST00215,2024-04-24,Standard,599,East,Referral,Active,8,,
CUST00216,2024-02-29,Basic,299,West,Social Media,Churned,6,2024-08-27,Poor support experience
CUST00217,2023-02-28,Basic,299,South,Social Media,Churned,7,2023-09-26,Poor support experience
CUST00218,2024-03-12,Standard,599,South,Social Media,Churned,1,2024-04-11,Price too high
CUST00219,2023-06-13,Premium,999,West,Social Media,Churned,15,2024-09-05,Poor support experience
CUST00220,2023-10-08,Standard,599,South,Referral,Churned,15,2024-12-31,Not using enough
CUST00221,2023-01-31,Basic,299,North,Social Media,Churned,1,2023-03-02,Not using enough
CUST00222,2024-04-07,Basic,299,South,Organic,Churned,6,2024-10-04,Technical issues
CUST00223,2023-02-28,Standard,599,East,Organic,Active,22,,
CUST00224,2024-01-13,Standard,599,South,Paid Ads,Active,11,,
CUST00225,2024-01-05,Standard,599,West,Paid Ads,Active,12,,
CUST00226,2023-04-27,Standard,599,East,Organic,Active,20,,
CUST00227,2024-05-01,Standard,599,East,Paid Ads,Active,8,,
CUST00228,2023-05-31,Standard,599,East,Organic,Active,19,,
CUST00229,2024-07-03,Premium,999,South,Paid Ads,Active,6,,
CUST00230,2024-01-31,Basic,299,West,Paid Ads,Churned,8,2024-09-27,Not using enough
CUST00231,2023-10-16,Basic,299,South,Referral,Active,14,,
CUST00232,2023-12-29,Basic,299,West,Referral,Active,12,,
CUST00233,2024-03-06,Premium,999,North,,Active,10,,
CUST00234,2024-05-20,Basic,299,West,Referral,Active,7,,
CUST00235,2024-09-19,Basic,299,North,Organic,Active,3,,
CUST00236,2024-04-02,Basic,299,North,Social Media,Churned,3,2024-07-01,Found alternative
CUST00237,2024-04-24,Premium,999,North,Organic,Active,8,,
CUST00238,2023-08-03,Basic,299,East,Paid Ads,Active,17,,
CUST00239,2024-04-01,Standard,599,West,Paid Ads,Churned,3,2024-06-30,Price too high
CUST00240,2024-02-28,Basic,299,West,Organic,Churned,2,2024-04-28,Missing features
CUST00241,2024-05-11,Basic,299,South,,Active,7,,
CUST00242,2024-01-24,Basic,299,West,Organic,Active,11,,
CUST00243,2024-11-18,Standard,599,West,Organic,Active,1,,
CUST00244,2023-08-15,Basic,299,West,Paid Ads,Churned,7,2024-03-12,Missing features
CUST00245,2023-12-17,Basic,299,West,Organic,Churned,10,2024-10-12,Price too high
CUST00246,2024-03-10,Basic,299,West,Organic,Active,9,,
CUST00247,2024-10-30,Basic,299,North,Paid Ads,Active,2,,
CUST00248,2024-01-09,Standard,599,South,Organic,Active,11,,
CUST00249,2024-01-25,Premium,999,West,Social Media,Active,11,,
CUST00250,2024-01-01,Basic,299,North,Paid Ads,Churned,6,2024-06-29,Found alternative
CUST00251,2024-06-04,Premium,999,South,Paid Ads,Churned,2,2024-08-03,Found alternative
CUST00252,2024-03-30,Standard,599,South,Paid Ads,Active,9,,
CUST00253,2024-10-31,Standard,599,North,Paid Ads,Churned,2,2024-12-30,Not using enough
CUST00254,2023-03-05,Premium,999,North,Social Media,Churned,3,2023-06-03,Missing features
CUST00255,2023-04-14,Basic,299,South,Referral,Active,20,,
CUST00256,2023-03-23,Basic,299,West,Social Media,Churned,2,2023-05-22,Price too high
CUST00257,2023-05-13,Premium,999,South,Paid Ads,Active,19,,
CUST00258,2024-05-01,Premium,999,North,Paid Ads,Churned,3,2024-07-30,Not using enough
CUST00259,2023-09-18,Standard,599,West,Referral,Churned,9,2024-06-14,Missing features
CUST00260,2023-09-18,Basic,299,East,Referral,Active,15,,
CUST00261,2023-12-24,Basic,299,South,Social Media,Active,12,,
CUST00262,2023-02-20,Basic,299,West,Referral,Churned,16,2024-06-14,Poor support experience
CUST00263,2024-08-09,Basic,299,South,Referral,Active,4,,
CUST00264,2024-10-02,Basic,299,South,Organic,Churned,1,2024-11-01,Price too high
CUST00265,2023-04-20,Basic,299,South,Paid Ads,Churned,11,2024-03-15,Not using enough
CUST00266,2023-01-06,Basic,299,West,Paid Ads,Churned,2,2023-03-07,Price too high
CUST00267,2024-04-06,Premium,999,West,Referral,Active,8,,
CUST00268,2024-03-23,Basic,299,North,Organic,Active,9,,
CUST00269,2023-11-10,Standard,599,South,Paid Ads,Churned,1,2023-12-10,Price too high
CUST00270,2023-02-19,Premium,999,South,Referral,Churned,8,2023-10-17,Not using enough
CUST00271,2023-10-01,Premium,999,West,Organic,Active,15,,
CUST00272,2024-05-11,Basic,299,East,Paid Ads,Churned,4,2024-09-08,Poor support experience
CUST00273,2024-10-04,Premium,999,South,Paid Ads,Active,2,,
CUST00274,2024-03-07,Standard,599,East,Referral,Active,9,,
CUST00275,2023-01-12,Premium,999,South,Organic,Churned,16,2024-05-06,Found alternative
CUST00276,2024-09-14,Premium,999,East,Referral,Active,3,,
CUST00277,2023-03-03,Standard,599,East,Paid Ads,Churned,6,2023-08-30,Missing features
CUST00278,2024-09-07,Basic,299,North,Social Media,Active,3,,
CUST00279,2023-06-04,Premium,999,South,Social Media,Churned,11,2024-04-29,Found alternative
CUST00280,2024-08-15,Standard,599,South,Social Media,Active,4,,
CUST00281,2024-10-16,Basic,299,East,Referral,Active,2,,
CUST00282,2023-06-23,Standard,599,West,Paid Ads,Churned,3,2023-09-21,Found alternative
CUST00283,2024-09-19,Standard,599,East,Organic,Active,3,,
CUST00284,2024-01-15,Premium,999,West,Organic,Active,11,,
CUST00285,2023-03-30,Basic,299,West,Social Media,Active,21,,
CUST00286,2024-01-23,Basic,299,North,Organic,Active,11,,
CUST00287,2024-01-03,Standard,599,South,Paid Ads,Active,12,,
CUST00288,2024-02-26,Basic,299,West,Organic,Churned,4,2024-06-25,Technical issues
CUST00289,2023-05-10,Basic,299,South,Organic,Active,20,,
CUST00290,2023-09-01,Standard,599,South,Social Media,Churned,13,2024-09-25,Not using enough
CUST00291,2023-02-02,Basic,299,North,Social Media,Churned,11,2023-12-29,Technical issues
CUST00292,2023-08-27,Basic,299,South,Paid Ads,Churned,9,2024-05-23,Price too high
CUST00293,2024-10-17,Basic,299,North,Organic,Active,2,,
CUST00294,2024-11-17,Basic,299,West,Paid Ads,Active,1,,
CUST00295,2023-09-06,Standard,599,South,Social Media,Active,16,,
CUST00296,2023-01-16,Basic,299,South,Social Media,Churned,6,2023-07-15,Missing features
CUST00297,2024-05-13,Basic,299,South,Organic,Active,7,,
CUST00298,2024-10-27,Basic,299,North,Organic,Churned,2,2024-12-26,Found alternative
CUST00299,2024-01-08,Standard,599,West,Organic,Active,11,,
CUST00300,2023-12-22,Standard,599,North,Organic,Churned,3,2024-03-21,Found alternative
CUST00301,2024-07-16,Standard,599,South,Social Media,Active,5,,
CUST00302,2023-06-03,Basic,299,West,Organic,Churned,3,2023-09-01,Missing features
CUST00303,2023-04-08,Basic,299,South,Organic,Churned,4,2023-08-06,Price too high
CUST00304,2024-03-31,Standard,599,North,Organic,Active,9,,
CUST00305,2023-11-03,Standard,599,West,Paid Ads,Churned,4,2024-03-02,Not using enough
CUST00306,2024-03-15,Standard,599,West,Referral,Churned,8,2024-11-10,Not using enough
CUST00307,2023-08-17,Premium,999,West,Referral,Active,16,,
CUST00308,2023-01-04,Standard,599,North,Paid Ads,Churned,2,2023-03-05,Price too high
CUST00309,2023-02-20,Premium,999,East,Referral,Active,22,,
CUST00310,2023-03-24,Basic,299,West,Paid Ads,Churned,3,2023-06-22,Price too high
CUST00311,2023-07-24,Standard,599,South,Referral,Churned,3,2023-10-22,Missing features
CUST00312,2023-01-26,Basic,299,West,Paid Ads,Churned,10,2023-11-22,Price too high
CUST00313,2024-01-28,Premium,999,North,Organic,Active,11,,
CUST00314,2023-06-20,Standard,599,South,Referral,Active,18,,
CUST00315,2024-03-22,Basic,299,West,Social Media,Active,9,,
CUST00316,2024-07-05,Basic,299,East,Referral,Churned,1,2024-08-04,Poor support experience
CUST00317,2023-03-30,Basic,299,North,Organic,Churned,1,2023-04-29,Found alternative
CUST00318,2024-02-20,Standard,599,South,Paid Ads,Churned,2,2024-04-20,Price too high
CUST00319,2024-08-20,Premium,999,West,Organic,Active,4,,
CUST00320,2023-12-06,Standard,599,SOUTH,Organic,Active,13,,
CUST00321,2024-09-01,Basic,299,East,Paid Ads,Active,4,,
CUST00322,2023-06-12,Basic,299,East,Organic,Churned,4,2023-10-10,Found alternative
CUST00323,2023-05-10,Basic,299,East,Paid Ads,Churned,2,2023-07-09,Price too high
CUST00324,2023-09-03,Standard,599,East,Social Media,Active,16,,
CUST00325,2024-04-02,Basic,299,South,Organic,Active,9,,
CUST00326,2023-07-11,Basic,299,South,Referral,Active,17,,
CUST00327,2024-01-09,Basic,299,South,Paid Ads,Churned,10,2024-11-04,Found alternative
CUST00328,2024-07-11,Standard,599,South,Paid Ads,Active,5,,
CUST00329,2023-07-02,Basic,299,North,Organic,Churned,7,2024-01-28,Price too high
CUST00330,2024-03-11,Basic,299,North,Organic,Churned,8,2024-11-06,Not using enough
CUST00331,2023-04-01,Standard,599,West,Organic,Churned,2,2023-05-31,Found alternative
CUST00332,2024-02-06,Basic,299,East,Organic,Churned,4,2024-06-05,Price too high
CUST00333,2023-09-22,Standard,599,West,Paid Ads,Churned,13,2024-10-16,Technical issues
CUST00334,2024-02-01,Standard,599,West,Referral,Active,11,,
CUST00335,2024-07-17,Premium,999,West,Social Media,Active,5,,
CUST00336,2023-07-23,Premium,999,North,Organic,Active,17,,
CUST00337,2024-06-16,Basic,299,East,Social Media,Active,6,,
CUST00338,2024-07-12,Standard,599,South,Paid Ads,Active,5,,
CUST00339,2024-09-23,Premium,999,West,Social Media,Active,3,,
CUST00340,2024-09-27,Basic,299,West,Referral,Churned,2,2024-11-26,Poor support experience
CUST00341,2024-01-13,Premium,999,South,Organic,Active,11,,
CUST00342,2024-06-21,Basic,299,North,Paid Ads,Churned,3,2024-09-19,Price too high
CUST00343,2023-09-04,Basic,299,North,Paid Ads,Churned,10,2024-06-30,Found alternative
CUST00344,2024-07-12,Standard,599,East,Organic,Active,5,,
CUST00345,2024-05-02,Standard,599,South,Social Media,Active,8,,
CUST00346,2024-08-18,Standard,599,North,Organic,Active,4,,
CUST00347,2024-04-28,Premium,999,East,Paid Ads,Churned,5,2024-09-25,Technical issues
CUST00348,2023-03-14,Standard,599,South,Referral,Active,21,,
CUST00349,2023-02-25,Basic,299,West,Paid Ads,Churned,4,2023-06-25,Poor support experience
CUST00350,2023-08-22,Premium,999,West,Social Media,Active,16,,
CUST00351,2024-01-07,Standard,599,West,Organic,Active,11,,
CUST00352,2023-10-30,Standard,599,North,Organic,Active,14,,
CUST00353,2023-01-19,Basic,299,South,Organic,Churned,10,2023-11-15,Price too high
CUST00354,2024-01-15,Premium,999,West,Organic,Churned,10,2024-11-10,Found alternative
CUST00355,2023-11-03,Standard,599,North,Referral,Active,14,,
CUST00356,2024-02-16,Standard,599,South,Paid Ads,Active,10,,
CUST00357,2024-02-03,Standard,599,West,Referral,Churned,4,2024-06-02,Price too high
CUST00358,2024-10-08,Premium,999,South,Paid Ads,Active,2,,
CUST00359,2024-01-30,Premium,999,South,Organic,Active,11,,
CUST00360,2024-08-13,Standard,599,West,Referral,Active,4,,
CUST00361,2024-04-11,Premium,999,South,Organic,Active,8,,
CUST00362,2023-10-12,Basic,299,East,Paid Ads,Churned,1,2023-11-11,Price too high
CUST00363,2023-06-15,Basic,299,West,Organic,Churned,3,2023-09-13,Found alternative
CUST00364,2024-05-12,Standard,599,North,Paid Ads,Churned,2,2024-07-11,Not using enough
CUST00365,2023-02-13,Premium,999,South,Organic,Active,22,,
CUST00366,2023-05-27,Premium,999,North,Organic,Active,19,,
